Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0108052,2017-12-27,2017-12-27,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,9.0,195,1993,"Biography, Drama, History",1436762,1993-11-30,Steven Spielberg,,
2,tt0102926,2018-01-05,2018-01-05,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1532854,1991-01-30,Jonathan Demme,,
3,tt1632679,2018-03-06,2018-03-06,,Van Gogh: Painted with Words,https://www.imdb.com/title/tt1632679/,tvMovie,7.9,80,2010,"Documentary, Biography",2687,2010-04-05,Andrew Hutton,,
4,tt1045658,2018-03-06,2018-03-06,,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,movie,7.7,122,2012,"Comedy, Drama, Romance",738651,2012-09-08,David O. Russell,,
5,tt0421715,2018-03-06,2018-03-06,,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,movie,7.8,166,2008,"Drama, Fantasy, Romance",690809,2008-12-10,David Fincher,,
6,tt1645089,2018-03-06,2018-03-06,,Inside Job,https://www.imdb.com/title/tt1645089/,movie,8.2,109,2010,"Documentary, Crime",78623,2010-02-02,Charles Ferguson,,
7,tt1764183,2018-03-06,2018-03-06,,Arbitrage,https://www.imdb.com/title/tt1764183/,movie,6.6,107,2012,"Drama, Thriller",54588,2012-01-21,Nicholas Jarecki,,
8,tt1183919,2018-03-06,2018-03-06,,Marley,https://www.imdb.com/title/tt1183919/,movie,7.9,144,2012,"Documentary, Biography, Music",14302,2012-02-12,Kevin Macdonald,,
9,tt0443272,2018-03-06,2018-03-06,,Lincoln,https://www.imdb.com/title/tt0443272/,movie,7.3,150,2012,"Biography, Drama, History, War",271197,2012-10-08,Steven Spielberg,,
10,tt0120679,2018-03-08,2018-03-08,,Frida,https://www.imdb.com/title/tt0120679/,movie,7.3,123,2002,"Biography, Drama, Romance",94756,2002-08-29,Julie Taymor,,
11,tt0095243,2018-03-08,2018-03-08,,Gorillas in the Mist: The Story of Dian Fossey,https://www.imdb.com/title/tt0095243/,movie,7.0,129,1988,"Biography, Drama",28971,1988-10-07,Michael Apted,,
12,tt0450188,2018-03-08,2018-03-08,,La Môme,https://www.imdb.com/title/tt0450188/,movie,7.6,140,2007,"Biography, Drama, Music, Romance",90378,2007-02-08,Olivier Dahan,,
13,tt0436697,2018-03-08,2018-03-08,,The Queen,https://www.imdb.com/title/tt0436697/,movie,7.3,103,2006,"Biography, Drama",115596,2006-09-02,Stephen Frears,,
14,tt1007029,2018-03-08,2018-03-08,,The Iron Lady,https://www.imdb.com/title/tt1007029/,movie,6.4,105,2011,"Biography, Drama",113214,2011-12-26,Phyllida Lloyd,,
15,tt0350258,2018-03-09,2018-03-09,,Ray,https://www.imdb.com/title/tt0350258/,movie,7.7,152,2004,"Biography, Drama, Music",156493,2004-09-12,Taylor Hackford,,
16,tt2194499,2018-03-17,2018-03-17,,About Time,https://www.imdb.com/title/tt2194499/,movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",382009,2013-06-27,Richard Curtis,,
17,tt0112384,2018-03-21,2018-03-21,,Apollo 13,https://www.imdb.com/title/tt0112384/,movie,7.7,140,1995,"Adventure, Drama, History",313032,1995-06-22,Ron Howard,,
18,tt1091191,2018-03-21,2018-03-21,,Lone Survivor,https://www.imdb.com/title/tt1091191/,movie,7.5,121,2013,"Action, Biography, Drama, War",304750,2013-11-12,Peter Berg,,
19,tt0246578,2018-03-21,2018-03-21,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.0,113,2001,"Drama, Mystery, Sci-Fi, Thriller",844042,2001-01-19,Richard Kelly,,
20,tt0450259,2018-03-21,2018-03-21,,Blood Diamond,https://www.imdb.com/title/tt0450259/,movie,8.0,143,2006,"Adventure, Drama, Thriller",581687,2006-12-06,Edward Zwick,,
21,tt0119488,2018-03-21,2018-03-21,,L.A. Confidential,https://www.imdb.com/title/tt0119488/,movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",613227,1997-05-14,Curtis Hanson,,
22,tt0425210,2018-03-21,2018-03-21,,Lucky Number Slevin,https://www.imdb.com/title/tt0425210/,movie,7.7,110,2006,"Crime, Drama, Thriller",324400,2006-02-24,Paul McGuigan,,
23,tt0318462,2018-03-21,2018-03-21,,Diarios de motocicleta,https://www.imdb.com/title/tt0318462/,movie,7.7,126,2004,"Adventure, Biography, Drama",104442,2004-01-15,Walter Salles,,
24,tt0172396,2018-03-22,2018-03-22,,The End of the Affair,https://www.imdb.com/title/tt0172396/,movie,7.0,102,1999,"Drama, Romance",23850,1999-12-02,Neil Jordan,,
25,tt1563738,2018-03-22,2018-03-22,,One Day,https://www.imdb.com/title/tt1563738/,movie,7.0,107,2011,"Drama, Romance",163651,2011-08-08,Lone Scherfig,,
26,tt0332280,2018-03-22,2018-03-22,,The Notebook,https://www.imdb.com/title/tt0332280/,movie,7.8,123,2004,"Drama, Romance",613535,2004-05-20,Nick Cassavetes,,
27,tt3316960,2018-03-22,2018-03-22,,Still Alice,https://www.imdb.com/title/tt3316960/,movie,7.5,101,2014,Drama,142700,2014-09-08,"Richard Glatzer, Wash Westmoreland",,
28,tt0810819,2018-03-22,2018-03-22,,The Danish Girl,https://www.imdb.com/title/tt0810819/,movie,7.1,119,2015,"Biography, Crime, Drama",198201,2015-09-05,Tom Hooper,,
29,tt1798709,2018-03-22,2018-03-22,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",663413,2013-10-12,Spike Jonze,,
30,tt0098904,2018-03-23,2018-03-23,,Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.9,22,1989,Comedy,347566,1989-07-05,,,
31,tt0368794,2018-03-31,2018-03-31,,I'm Not There,https://www.imdb.com/title/tt0368794/,movie,6.8,135,2007,"Biography, Drama, Music",60924,2007-09-03,Todd Haynes,,
